block_number,execution_time_us,hint_construction_time_us,hint_write_time_us,rss_bytes
24020024,498134,27834,13898,9041395712
24020025,270960,20116,14620,9047408640
24020026,258376,17677,14588,9052487680
24020027,266770,10622,14103,9058418688
24020028,252239,13335,10365,9062744064
24020029,914899,50765,13093,9083731968
24020030,248577,18446,13372,9089105920
24020031,272660,25954,14371,9094676480
24020032,460723,28449,13680,9103310848
24020033,453844,27692,13553,9113960448
24020034,447535,30087,15785,9124052992
24020035,899528,36265,14859,9148612608
24020036,312354,15880,14855,9156149248
24020037,768858,29986,14689,9176317952
24020038,702327,42072,14731,9192996864
24020039,833626,42523,15083,9215475712
24020040,408145,16972,14002,9225289728
24020041,524251,23868,12959,9237413888
24020042,406155,28449,14730,9246932992
24020043,97701,4515,13167,9249095680
24020044,487877,14222,16645,9259843584
24020045,1011581,40247,14077,9283534848
24020046,205243,12250,12119,9288302592
24020047,229555,16444,12652,9293135872
24020048,83803,5169,12899,9294397440
24020049,479690,29688,15347,9304424448
24020050,912023,52144,15462,9323675648
24020051,333621,18851,13861,9330671616
24020052,584619,33298,15248,9341583360
24020053,672605,40246,15005,9356754944
24020054,218156,17946,14610,9360998400
24020055,324441,20199,14075,9367863296
24020056,383976,22654,15571,9376415744
24020057,587182,37349,14512,9388408832
24020058,352889,26227,13650,9396060160
24020059,629486,30001,14997,9411477504
24020060,302017,17545,14471,9418080256
24020061,706694,37767,15255,9432776704
24020062,560045,34915,13895,9446735872
24020063,510356,29564,15307,9457451008
24020064,328879,30477,12252,9463791616
24020065,487252,25620,14386,9474097152
24020066,97838,2006,11283,9475915776
24020067,876833,49179,15191,9494495232
24020068,201900,14485,13949,9499410432
24020069,244240,20016,13244,9504161792
24020070,695473,39420,14438,9518809088
24020071,818928,39257,14659,9537961984
24020072,320395,26710,13592,9544515584
24020073,69209,3906,11945,9545908224
24020074,271114,12513,13140,9550659584
24020075,768311,39818,14371,9565585408
24020076,302475,18563,14617,9572646912
24020077,599899,32039,13252,9585065984
24020078,126772,5496,12099,9588211712
24020079,685453,45500,14597,9601449984
24020080,582109,29888,14233,9615523840
24020081,339900,21870,13494,9623322624
24020082,44692,2331,11394,9624354816
24020083,662695,32960,12691,9638084608
24020084,155608,10981,11402,9641082880
24020085,235417,14881,12116,9646260224
24020086,826122,43836,14147,9664184320
24020087,648655,41156,12311,9680453632
24020088,241107,10359,14403,9686122496
24020089,342685,27238,14363,9692807168
24020090,704791,28968,14303,9709355008
24020091,360561,21332,16007,9717743616
24020092,430044,28245,15630,9726246912
24020093,461198,26080,16677,9735716864
24020094,587586,16156,13517,9748267008
24020095,619274,37819,14416,9763717120
24020096,303118,15621,13148,9769975808
24020097,397216,27128,13711,9778921472
24020098,405030,21155,13900,9788833792
24020099,285598,22835,13940,9793765376
24020100,548046,40416,13982,9804824576
24020101,747864,29591,14170,9821880320
24020102,489393,27726,13876,9832349696
24020103,374261,12471,12577,9839656960
24020104,379448,33069,15189,9848389632
24020105,382087,23619,14114,9856237568
24020106,720271,34320,14455,9872539648
24020107,425690,30520,13984,9881255936
24020108,477314,33774,14353,9891741696
24020109,753381,28264,14495,9906159616
24020110,238683,17034,13105,9910910976
