block_number,cache_size_bytes
24020417,2813854
24020418,4691659
24020419,1151281
24020420,4066724
24020421,4562089
24020422,3289470
24020423,4680191
24020424,3167719
24020425,3952444
24020426,2834612
24020427,3727483
24020428,3372889
24020429,2859313
24020430,3479682
24020431,3712566
24020432,3140067
24020433,3457065
24020434,3488807
24020435,1769917
24020436,1866282
24020437,3868023
24020438,5500808
24020439,2912390
24020440,3608119
24020441,4100949
24020442,2955893
24020443,1150291
24020444,4049433
24020445,5354712
24020446,4318276
24020447,3704024
24020448,3639016
24020449,3518553
24020450,2390457
24020451,2988988
24020452,3974238
24020453,3606059
24020454,3470418
24020455,4140072
24020456,2611337
24020457,2406060
24020458,2832847
24020459,1931071
24020460,3472545
24020461,950169
24020462,3174787
24020463,2553611
24020464,3049863
24020465,1611798
24020466,2871206
24020467,2559512
24020468,2176389
24020469,3961150
24020470,3177674
24020471,2659517
24020472,2855038
24020473,2257816
24020474,2397786
24020475,4585041
24020476,2960372
24020477,2835846
24020478,3251693
24020479,3099418
24020480,3641239
24020481,2967790
24020482,3123672
24020483,3079126
24020484,3224638
24020485,3200165
24020486,1806002
24020487,2975202
24020488,4728596
24020489,2245749
24020490,2806942
24020491,2786778
24020492,3210484
24020493,2818021
24020494,4267153
24020495,3203741
24020496,1096994
24020497,2554550
24020498,6684055
24020499,3467857
24020500,2631326
24020501,2572211
24020502,2963945
24020503,447482
24020504,3589017
24020505,2878493
24020506,4761892
24020507,1194450
24020508,3966419
24020509,3124047
24020510,5130366
24020511,2852622
24020512,4541989
24020513,2683805
24020514,3581775
24020515,3021995
24020516,2230113
24020517,2476701
24020518,4963306
24020519,3236202
24020520,2670288
24020521,4307177
24020522,3153211
24020523,4737568
24020524,4090279
24020525,2773516
24020526,2665977
24020527,2898313
24020528,2596272
24020529,2525432
24020530,3570034
24020531,3107883
24020532,2289492
24020533,2266352
24020534,3044462
24020535,3283504
24020536,640033
24020537,3101075
24020538,2314441
24020539,3070162
24020540,3242663
24020541,3009220
24020542,2491183
24020543,726553
24020544,3939141
24020545,3548458
24020546,2007324
24020547,3245315
24020548,4383609
24020549,3674297
24020550,607904
24020551,2937762
24020552,4426539
24020553,3148046
24020554,2486129
24020555,3603521
24020556,2257101
24020557,2353535
24020558,4409897
24020559,1836764
24020560,3053841
24020561,2243424
24020562,3466351
24020563,1505429
24020564,2701592
24020565,2631370
24020566,2928172
24020567,5068958
24020568,2772928
24020569,3366369
24020570,3334810
24020571,575096
24020572,4227045
24020573,697015
24020574,4763393
24020575,1119106
24020576,2932718
24020577,3752599
24020578,2773465
24020579,2824869
24020580,4382654
24020581,2329490
24020582,1071089
24020583,7222578
24020584,4619343
24020585,3930240
24020586,4032941
24020587,4207954
24020588,3974547
24020589,3666202
24020590,3525540
24020591,4997766
24020592,2389648
24020593,3792965
24020594,4334544
24020595,1322047
24020596,4015884
24020597,6384774
24020598,6604743
24020599,3194988
24020600,3601542
24020601,3820326
24020602,4233083
24020603,1413167
24020604,3625130
24020605,2973901
24020606,4757017
24020607,3893620
24020608,2395139
24020609,3561134
24020610,1635559
24020611,6091706
24020612,2886249
24020613,3510787
24020614,932702
24020615,317391
24020616,3966768
24020617,3126970
24020618,3334624
24020619,2159334
24020620,3057288
24020621,1949836
24020622,2237110
24020623,3618174
24020624,4469740
24020625,4891621
24020626,3115284
24020627,4853927
24020628,1474094
24020629,5614790
24020630,3555342
24020631,884014
24020632,4208013
24020633,5256126
24020634,3895087
24020635,3070632
24020636,4246466
24020637,525260
24020638,3975022
24020639,4946601
24020640,4698210
24020641,3620328
24020642,3447024
24020643,3023195
24020644,2877417
24020645,4167126
24020646,3396275
24020647,2913721
24020648,4422337
24020649,3627057
24020650,3708190
24020651,2891861
24020652,2909714
24020653,2722235
24020654,1844274
24020655,5292112
24020656,4326386
24020657,3774549
24020658,2882349
24020659,2105149
24020660,1049592
24020661,3322577
24020662,3211844
24020663,3827106
24020664,2641139
24020665,4449360
24020666,3491043
24020667,2333280
24020668,4318831
24020669,2465887
24020670,4048914
24020671,3001586
24020672,3607861
24020673,2269103
24020674,3306832
